Country,Year,Points,Place,Draw,Countries
Albania,2004,106,7,9,24
Albania,2005,53,16,8,24
Albania,2008,55,17,3,25
Albania,2009,48,17,19,25
Albania,2010,62,16,15,25
Albania,2012,146,5,3,26
Albania,2015,34,17,26,27
Albania,2018,184,11,12,26
Albania,2019,90,17,2,26
Albania,2021,57,21,2,26
Armenia,2006,129,8,24,24
Armenia,2007,138,8,23,24
Armenia,2008,199,4,5,25
Armenia,2009,92,10,9,25
Armenia,2010,141,7,21,25
Armenia,2013,41,18,12,26
Armenia,2014,174,4,7,26
Armenia,2015,34,16,6,27
Armenia,2016,249,7,26,26
Armenia,2017,79,18,5,26
Armenia,2022,61,20,8,25
Australia,2015,196,5,12,27
Australia,2016,511,2,13,26
Australia,2017,173,9,14,26
Australia,2018,99,20,16,26
Australia,2019,284,9,25,26
Australia,2022,125,15,21,25
Austria,1957,3,10,5,10
Austria,1958,8,5,9,10
Austria,1959,4,9,9,11
Austria,1960,6,7,7,13
Austria,1961,1,15,3,16
Austria,1962,0,13,4,16
Austria,1963,16,7,4,16
Austria,1964,11,6,6,16
Austria,1965,16,4,6,18
Austria,1966,31,1,9,18
Austria,1967,2,14,3,17
Austria,1968,2,13,4,17
Austria,1971,66,16,1,18
Austria,1972,100,5,11,18
Austria,1976,80,5,14,18
Austria,1977,11,17,4,18
Austria,1978,14,15,19,20
Austria,1979,5,18,18,19
Austria,1980,64,8,1,19
Austria,1981,20,17,1,20
Austria,1982,57,9,10,18
Austria,1983,53,9,18,20
Austria,1984,5,19,13,19
Austria,1985,60,8,17,19
Austria,1986,12,18,16,20
Austria,1987,8,20,3,22
Austria,1988,0,21,12,21
Austria,1989,97,5,13,22
Austria,1990,58,10,20,22
Austria,1991,0,22,6,22
Austria,1992,63,10,15,23
Austria,1993,32,14,10,25
Austria,1994,19,17,20,25
Austria,1995,67,13,8,23
Austria,1996,68,10,8,23
Austria,1997,12,21,4,25
Austria,1999,65,10,18,23
Austria,2000,34,14,24,24
Austria,2002,26,18,3,24
Austria,2003,101,6,2,26
Austria,2004,9,21,2,24
Austria,2011,64,18,18,25
Austria,2014,290,1,11,26
Austria,2015,0,26,14,27
Austria,2016,151,13,24,26
Austria,2017,93,16,4,26
Austria,2018,342,3,5,26
Azerbaijan,2008,132,8,20,25
Azerbaijan,2009,207,3,11,25
Azerbaijan,2010,145,5,1,25
Azerbaijan,2011,221,1,19,25
Azerbaijan,2012,150,4,13,26
Azerbaijan,2013,234,2,20,26
Azerbaijan,2014,33,22,3,26
Azerbaijan,2015,49,12,24,27
Azerbaijan,2016,117,17,4,26
Azerbaijan,2017,120,14,12,26
Azerbaijan,2019,302,8,20,26
Azerbaijan,2021,65,20,21,26
Azerbaijan,2022,106,16,15,25
Belarus,2007,145,6,3,24
Belarus,2010,18,24,9,25
Belarus,2013,48,16,8,26
Belarus,2014,43,16,2,26
Belarus,2017,83,17,3,26
Belarus,2019,31,24,19,26
Belgium,1957,5,8,1,10
Belgium,1958,8,5,7,10
Belgium,1959,9,6,11,11
Belgium,1960,9,6,5,13
Belgium,1961,1,15,11,16
Belgium,1962,0,13,2,16
Belgium,1963,4,10,14,16
Belgium,1964,2,10,15,16
Belgium,1965,0,15,8,18
Belgium,1966,14,4,3,18
Belgium,1967,8,7,10,17
Belgium,1968,8,7,3,17
Belgium,1969,10,7,10,16
Belgium,1970,5,8,5,12
Belgium,1971,68,14,10,18
Belgium,1972,55,17,16,18
Belgium,1973,58,17,2,17
Belgium,1974,10,9,11,17
Belgium,1975,17,15,11,19
Belgium,1976,68,8,6,18
Belgium,1977,69,7,17,18
Belgium,1978,125,2,10,20
Belgium,1979,5,18,12,19
Belgium,1980,14,17,19,19
Belgium,1981,40,13,16,20
Belgium,1982,96,4,11,18
Belgium,1983,13,18,19,20
Belgium,1984,70,5,8,19
Belgium,1985,7,19,8,19
Belgium,1986,176,1,13,20
Belgium,1987,56,11,5,22
Belgium,1988,5,18,16,21
Belgium,1989,13,19,6,22
Belgium,1990,46,12,3,22
Belgium,1991,23,16,18,22
Belgium,1992,11,20,2,23
Belgium,1993,3,25,7,25
Belgium,1995,8,20,14,23
Belgium,1996,22,16,16,23
Belgium,1998,122,6,20,25
Belgium,1999,38,12,2,23
Belgium,2000,2,24,10,24
Belgium,2002,33,13,16,24
Belgium,2003,165,2,22,26
Belgium,2004,7,22,13,24
Belgium,2010,143,6,7,25
Belgium,2013,71,12,6,26
Belgium,2015,217,4,13,27
Belgium,2016,181,10,1,26
Belgium,2017,363,4,23,26
Belgium,2021,74,19,4,26
Belgium,2022,64,19,16,25
Bosnia Herzegovina,1993,27,16,18,25
Bosnia Herzegovina,1994,39,15,18,25
Bosnia Herzegovina,1995,14,19,4,23
Bosnia Herzegovina,1996,13,22,21,23
Bosnia Herzegovina,1997,22,18,14,25
Bosnia Herzegovina,1999,86,7,22,23
Bosnia Herzegovina,2001,29,14,3,23
Bosnia Herzegovina,2002,33,13,15,24
Bosnia Herzegovina,2003,27,16,6,26
Bosnia Herzegovina,2004,91,9,12,24
Bosnia Herzegovina,2005,79,14,21,24
Bosnia Herzegovina,2006,229,3,13,24
Bosnia Herzegovina,2007,106,11,1,24
Bosnia Herzegovina,2008,110,10,6,25
Bosnia Herzegovina,2009,106,9,12,25
Bosnia Herzegovina,2010,51,17,6,25
Bosnia Herzegovina,2011,125,6,2,25
Bosnia Herzegovina,2012,55,18,5,26
Bulgaria,2007,157,5,21,24
Bulgaria,2016,307,4,8,26
Bulgaria,2017,615,2,25,26
Bulgaria,2018,166,14,18,26
Bulgaria,2021,170,11,17,26
Croatia,1993,31,15,21,25
Croatia,1994,27,16,7,25
Croatia,1995,91,6,11,23
Croatia,1996,98,4,7,23
Croatia,1997,24,17,23,25
Croatia,1998,131,5,1,25
Croatia,1999,118,4,4,23
Croatia,2000,70,9,17,24
Croatia,2001,42,10,10,23
Croatia,2002,44,11,6,24
Croatia,2003,29,15,8,26
Croatia,2004,50,12,11,24
Croatia,2005,115,11,18,24
Croatia,2006,56,12,20,24
Croatia,2008,44,21,9,25
Croatia,2009,45,18,5,25
Croatia,2016,73,23,17,26
Croatia,2017,128,13,13,26
Cyprus,1981,69,6,18,20
Cyprus,1982,85,5,8,18
Cyprus,1983,26,16,13,20
Cyprus,1984,31,15,7,19
Cyprus,1985,15,16,3,19
Cyprus,1986,4,20,15,20
Cyprus,1987,80,7,17,22
Cyprus,1989,51,11,17,22
Cyprus,1990,36,14,21,22
Cyprus,1991,60,9,21,22
Cyprus,1992,57,11,9,23
Cyprus,1993,17,19,23,25
Cyprus,1994,51,11,4,25
Cyprus,1995,79,9,17,23
Cyprus,1996,72,9,5,23
Cyprus,1997,98,5,1,25
Cyprus,1998,37,11,17,25
Cyprus,1999,2,22,14,23
Cyprus,2000,8,21,11,24
Cyprus,2002,85,6,1,24
Cyprus,2003,15,20,9,26
Cyprus,2004,170,5,21,24
Cyprus,2005,46,18,9,24
Cyprus,2010,27,21,5,25
Cyprus,2012,65,16,8,26
Cyprus,2015,11,22,11,27
Cyprus,2016,96,21,14,26
Cyprus,2017,68,21,19,26
Cyprus,2018,436,2,25,26
Cyprus,2019,109,13,11,26
Cyprus,2021,94,16,1,26
Czech Republic,2016,41,25,2,26
Czech Republic,2018,281,6,14,26
Czech Republic,2019,157,11,3,26
Czech Republic,2022,38,22,1,25
Denmark,1957,10,3,9,10
Denmark,1958,3,8,6,10
Denmark,1959,12,5,2,11
Denmark,1960,4,10,4,13
Denmark,1961,12,5,13,16
Denmark,1962,2,10,5,16
Denmark,1963,42,1,8,16
Denmark,1964,4,9,4,16
Denmark,1965,10,7,14,18
Denmark,1966,4,14,2,18
Denmark,1978,13,16,16,20
Denmark,1979,76,6,3,19
Denmark,1980,25,14,7,19
Denmark,1981,41,11,6,20
Denmark,1982,5,17,13,18
Denmark,1983,16,17,15,20
Denmark,1984,101,4,10,19
Denmark,1985,41,11,4,19
Denmark,1986,77,6,18,20
Denmark,1987,83,5,19,22
Denmark,1988,92,3,13,21
Denmark,1989,111,3,12,22
Denmark,1990,64,8,11,22
Denmark,1991,8,19,13,22
Denmark,1992,47,12,18,23
Denmark,1993,9,22,5,25
Denmark,1995,92,5,19,23
Denmark,1997,25,16,21,25
Denmark,1999,71,8,9,23
Denmark,2000,195,1,14,24
Denmark,2001,177,2,23,23
Denmark,2002,7,24,14,24
Denmark,2005,125,9,13,24
Denmark,2006,26,18,9,24
Denmark,2008,60,15,16,25
Denmark,2009,74,13,16,25
Denmark,2010,149,4,25,25
Denmark,2011,134,5,3,25
Denmark,2012,21,23,15,26
Denmark,2013,281,1,18,26
Denmark,2014,74,9,23,26
Denmark,2017,77,20,10,26
Denmark,2018,226,9,15,26
Denmark,2019,120,12,6,26
Estonia,1994,2,24,10,25
Estonia,1996,94,5,11,23
Estonia,1997,82,8,13,25
Estonia,1998,36,12,23,25
Estonia,1999,90,6,23,23
Estonia,2000,98,4,4,24
Estonia,2001,198,1,20,23
Estonia,2002,111,3,8,24
Estonia,2003,14,21,23,26
Estonia,2009,129,6,15,25
Estonia,2011,44,24,8,25
Estonia,2012,120,6,11,26
Estonia,2013,19,20,7,26
Estonia,2015,106,7,4,27
Estonia,2018,245,8,6,26
Estonia,2019,76,20,18,26
Estonia,2022,141,13,25,25
Finland,1961,6,10,4,16
Finland,1962,4,7,1,16
Finland,1963,0,13,7,16
Finland,1964,9,7,5,16
Finland,1965,0,15,16,18
Finland,1966,7,10,7,18
Finland,1967,3,12,8,17
Finland,1968,1,16,9,17
Finland,1969,6,12,16,16
Finland,1971,84,8,17,18
Finland,1972,78,12,10,18
Finland,1973,93,6,1,17
Finland,1974,4,13,1,17
Finland,1975,74,7,15,19
Finland,1976,44,11,11,18
Finland,1977,50,10,16,18
Finland,1978,2,18,4,20
Finland,1979,38,14,5,19
Finland,1980,6,19,10,19
Finland,1981,27,16,8,20
Finland,1982,0,18,6,18
Finland,1983,41,11,9,20
Finland,1984,46,9,16,19
Finland,1985,58,9,2,19
Finland,1986,22,15,19,20
Finland,1987,32,15,18,22
Finland,1988,3,20,3,21
Finland,1989,76,7,14,22
Finland,1990,8,21,22,22
Finland,1991,6,20,16,22
Finland,1992,4,23,12,23
Finland,1993,20,17,17,25
Finland,1994,11,22,2,25
Finland,1996,9,23,18,23
Finland,1998,22,15,21,25
Finland,2000,18,18,20,24
Finland,2002,24,20,13,24
Finland,2006,292,1,17,24
Finland,2007,53,17,5,24
Finland,2008,35,22,8,25
Finland,2009,22,25,24,25
Finland,2011,57,21,1,25
Finland,2013,13,24,4,26
Finland,2014,72,11,18,26
Finland,2018,46,25,17,26
Finland,2021,301,6,16,26
Finland,2022,38,21,4,25
France,1957,17,2,8,10
France,1958,27,1,3,10
France,1959,15,3,1,11
France,1960,32,1,13,13
France,1961,13,4,9,16
France,1962,26,1,9,16
France,1963,25,5,11,16
France,1964,14,4,7,16
France,1965,22,3,11,18
France,1966,1,16,15,18
France,1967,20,3,4,17
France,1968,20,3,10,17
France,1969,18,1,14,16
France,1970,8,4,6,12
France,1971,82,10,7,18
France,1972,81,11,2,18
France,1973,65,15,16,17
France,1975,91,4,3,19
France,1976,147,2,17,18
France,1977,136,1,18,18
France,1978,119,3,6,20
France,1979,106,3,11,19
France,1980,45,11,16,19
France,1981,125,3,9,20
France,1983,56,8,1,20
France,1984,61,8,3,19
France,1985,56,10,6,19
France,1986,13,17,3,20
France,1987,44,14,15,22
France,1988,64,10,19,21
France,1989,60,8,15,22
France,1990,132,2,14,22
France,1991,146,2,9,22
France,1992,73,8,6,23
France,1993,121,4,12,25
France,1994,74,7,25,25
France,1995,94,4,12,23
France,1996,18,19,13,23
France,1997,95,7,22,25
France,1998,3,24,3,25
France,1999,14,19,10,23
France,2000,5,23,5,24
France,2001,142,4,14,23
France,2002,104,5,17,24
France,2003,19,18,19,26
France,2004,40,15,4,24
France,2005,11,23,24,24
France,2006,5,22,19,24
France,2007,19,22,13,24
France,2008,47,19,19,25
France,2009,107,8,3,25
France,2010,82,12,18,25
France,2011,82,15,11,25
France,2012,21,22,9,26
France,2013,14,23,1,26
France,2014,2,26,14,26
France,2015,4,25,2,27
France,2016,257,6,11,26
France,2017,135,12,26,26
France,2018,173,13,13,26
France,2019,105,16,21,26
France,2021,499,2,20,26
France,2022,17,24,6,25
Georgia,2007,97,12,11,24
Georgia,2008,83,11,17,25
Georgia,2010,136,9,13,25
Georgia,2011,110,9,25,25
Georgia,2013,50,15,25,26
Georgia,2015,51,11,23,27
Georgia,2016,104,20,23,26
Germany,1957,8,4,7,10
Germany,1958,5,7,8,10
Germany,1959,5,8,6,11
Germany,1960,11,4,11,13
Germany,1961,3,13,8,16
Germany,1962,9,6,7,16
Germany,1963,5,9,3,16
Germany,1964,0,13,9,16
Germany,1965,0,15,5,18
Germany,1966,7,10,1,18
Germany,1967,7,8,9,17
Germany,1968,11,6,16,17
Germany,1969,8,9,13,16
Germany,1970,12,3,11,12
Germany,1971,100,3,5,18
Germany,1972,107,3,1,18
Germany,1973,85,8,4,17
Germany,1974,3,14,14,17
Germany,1975,15,17,4,19
Germany,1976,12,15,3,18
Germany,1977,55,8,6,18
Germany,1978,84,6,13,20
Germany,1979,86,4,9,19
Germany,1980,128,2,12,19
Germany,1981,132,2,3,20
Germany,1982,161,1,18,18
Germany,1983,94,5,14,20
Germany,1984,34,13,14,19
Germany,1985,105,2,10,19
Germany,1986,62,8,14,20
Germany,1987,141,2,16,22
Germany,1988,48,14,11,21
Germany,1989,46,14,21,22
Germany,1990,60,9,13,22
Germany,1991,10,18,17,22
Germany,1992,27,16,22,23
Germany,1993,18,18,3,25
Germany,1994,128,3,14,25
Germany,1995,1,23,3,23
Germany,1997,22,18,11,25
Germany,1998,86,7,9,25
Germany,1999,140,3,21,23
Germany,2000,96,5,15,24
Germany,2001,66,8,19,23
Germany,2002,17,21,18,24
Germany,2003,53,11,10,26
Germany,2004,93,8,8,24
Germany,2005,4,24,17,24
Germany,2006,36,14,8,24
Germany,2007,49,19,16,24
Germany,2008,14,23,4,25
Germany,2009,35,20,17,25
Germany,2010,246,1,22,25
Germany,2011,107,10,16,25
Germany,2012,110,8,20,26
Germany,2013,18,21,11,26
Germany,2014,39,18,12,26
Germany,2015,0,27,17,27
Germany,2016,11,26,10,26
Germany,2017,6,25,21,26
Germany,2018,340,4,11,26
Germany,2019,24,25,4,26
Germany,2021,3,25,15,26
Germany,2022,6,25,13,25
Greece,1974,7,11,5,17
Greece,1976,20,13,10,18
Greece,1977,92,5,10,18
Greece,1978,66,8,15,20
Greece,1979,69,8,7,19
Greece,1980,30,13,3,19
Greece,1981,55,8,17,20
Greece,1983,32,14,10,20
Greece,1985,15,16,19,19
Greece,1987,64,10,11,22
Greece,1988,10,17,14,21
Greece,1989,56,9,19,22
Greece,1990,11,19,2,22
Greece,1991,36,13,4,22
Greece,1992,94,5,5,23
Greece,1993,64,9,6,25
Greece,1994,44,14,19,25
Greece,1995,68,12,23,23
Greece,1996,36,14,10,23
Greece,1997,39,12,17,25
Greece,1998,12,20,2,25
Greece,2001,147,3,22,23
Greece,2002,27,17,4,24
Greece,2003,25,17,17,26
Greece,2004,252,3,16,24
Greece,2005,230,1,19,24
Greece,2006,128,9,16,24
Greece,2007,139,7,10,24
Greece,2008,218,3,21,25
Greece,2009,120,7,8,25
Greece,2010,140,8,11,25
Greece,2011,120,7,9,25
Greece,2012,64,17,16,26
Greece,2013,152,6,21,26
Greece,2014,35,20,10,26
Greece,2015,23,19,15,27
Greece,2017,77,19,15,26
Greece,2019,74,21,13,26
Greece,2021,170,10,10,26
Greece,2022,215,8,17,25
Hungary,1994,122,4,22,25
Hungary,1995,3,22,13,23
Hungary,1997,39,12,19,25
Hungary,1998,4,23,11,25
Hungary,2005,97,12,1,24
Hungary,2007,128,9,8,24
Hungary,2011,53,22,5,25
Hungary,2012,19,24,2,26
Hungary,2013,84,10,17,26
Hungary,2014,143,5,21,26
Hungary,2015,19,20,22,27
Hungary,2016,108,19,5,26
Hungary,2017,200,8,8,26
Hungary,2018,93,21,21,26
Iceland,1986,19,16,6,20
Iceland,1987,28,16,4,22
Iceland,1988,20,16,1,21
Iceland,1989,0,22,20,22
Iceland,1990,124,4,8,22
Iceland,1991,26,15,2,22
Iceland,1992,80,7,11,23
Iceland,1993,42,13,9,25
Iceland,1994,49,12,5,25
Iceland,1995,31,15,7,23
Iceland,1996,51,13,19,23
Iceland,1997,18,20,25,25
Iceland,1999,146,2,13,23
Iceland,2000,45,12,12,24
Iceland,2001,3,22,2,23
Iceland,2003,81,8,1,26
Iceland,2004,16,19,17,24
Iceland,2008,64,14,11,25
Iceland,2009,218,2,7,25
Iceland,2010,41,19,16,25
Iceland,2011,61,20,21,25
Iceland,2012,46,20,7,26
Iceland,2013,47,17,19,26
Iceland,2014,58,15,4,26
Iceland,2019,232,10,17,26
Iceland,2021,378,4,12,26
Iceland,2022,20,23,18,25
Ireland,1965,11,6,4,18
Ireland,1966,14,4,17,18
Ireland,1967,22,2,17,17
Ireland,1968,18,4,14,17
Ireland,1969,10,7,5,16
Ireland,1970,32,1,12,12
Ireland,1971,79,11,13,18
Ireland,1972,72,15,3,18
Ireland,1973,80,10,14,17
Ireland,1974,11,7,13,17
Ireland,1975,68,9,2,19
Ireland,1976,54,10,7,18
Ireland,1977,119,3,1,18
Ireland,1978,86,5,1,20
Ireland,1979,80,5,4,19
Ireland,1980,143,1,17,19
Ireland,1981,105,5,12,20
Ireland,1982,49,11,17,18
Ireland,1984,137,2,9,19
Ireland,1985,91,6,1,19
Ireland,1986,96,4,12,20
Ireland,1987,172,1,20,22
Ireland,1988,79,8,10,21
Ireland,1989,21,18,3,22
Ireland,1990,132,2,17,22
Ireland,1991,47,10,11,22
Ireland,1992,155,1,17,23
Ireland,1993,187,1,14,25
Ireland,1994,226,1,3,25
Ireland,1995,44,14,2,23
Ireland,1996,162,1,17,23
Ireland,1997,157,2,5,25
Ireland,1998,64,9,13,25
Ireland,1999,18,17,17,23
Ireland,2000,92,6,23,24
Ireland,2001,6,21,12,23
Ireland,2003,53,11,3,26
Ireland,2004,7,22,18,24
Ireland,2006,93,10,21,24
Ireland,2007,5,24,4,24
Ireland,2010,25,23,10,25
Ireland,2011,119,8,6,25
Ireland,2012,46,19,23,26
Ireland,2013,5,26,26,26
Ireland,2018,136,16,24,26
Israel,1973,97,4,17,17
Israel,1974,11,7,6,17
Israel,1975,40,11,12,19
Israel,1976,77,6,4,18
Israel,1977,49,11,11,18
Israel,1978,157,1,18,20
Israel,1979,125,1,10,19
Israel,1981,56,7,5,20
Israel,1982,100,2,15,18
Israel,1983,136,2,16,20
Israel,1985,93,5,11,19
Israel,1986,7,19,11,20
Israel,1987,73,8,2,22
Israel,1988,85,7,8,21
Israel,1989,50,12,2,22
Israel,1990,16,18,10,22
Israel,1991,139,3,15,22
Israel,1992,85,6,3,23
Israel,1993,4,24,24,25
Israel,1995,81,8,21,23
Israel,1998,172,1,8,25
Israel,1999,93,5,19,23
Israel,2000,7,22,1,24
Israel,2001,25,16,5,23
Israel,2002,37,12,10,24
Israel,2003,17,19,13,26
Israel,2005,154,4,11,24
Israel,2006,4,23,3,24
Israel,2008,124,9,7,25
Israel,2009,53,16,2,25
Israel,2010,71,14,24,25
Israel,2015,97,9,3,27
Israel,2016,135,14,7,26
Israel,2017,39,23,1,26
Israel,2018,529,1,22,26
Israel,2019,35,23,14,26
Israel,2021,93,17,3,26
Italy,1957,7,6,4,10
Italy,1958,13,3,1,10
Italy,1959,9,6,3,11
Italy,1960,5,8,12,13
Italy,1961,12,5,16,16
Italy,1962,3,9,15,16
Italy,1963,37,3,6,16
Italy,1964,49,1,12,16
Italy,1965,15,5,13,18
Italy,1966,0,17,14,18
Italy,1967,4,11,16,17
Italy,1968,7,10,11,17
Italy,1969,5,13,6,16
Italy,1970,5,8,3,12
Italy,1971,91,5,11,18
Italy,1972,92,6,12,18
Italy,1973,74,13,10,17
Italy,1974,18,2,17,17
Italy,1975,115,3,19,19
Italy,1976,69,7,13,18
Italy,1977,33,13,15,18
Italy,1978,53,12,3,20
Italy,1979,27,15,2,19
Italy,1980,87,6,6,19
Italy,1983,41,11,5,20
Italy,1984,70,5,18,19
Italy,1985,78,7,12,19
Italy,1987,103,3,7,22
Italy,1988,52,12,18,21
Italy,1989,56,9,1,22
Italy,1990,149,1,19,22
Italy,1991,89,7,22,22
Italy,1992,111,4,19,23
Italy,1993,45,12,1,25
Italy,1997,114,4,9,25
Italy,2011,189,2,12,25
Italy,2012,101,9,10,26
Italy,2013,126,7,23,26
Italy,2014,33,21,16,26
Italy,2015,292,3,27,27
Italy,2016,124,16,6,26
Italy,2017,334,6,9,26
Italy,2018,308,5,26,26
Italy,2019,472,2,22,26
Italy,2021,524,1,24,26
Italy,2022,268,6,9,25
Latvia,2000,136,3,21,24
Latvia,2001,16,18,9,23
Latvia,2002,176,1,23,24
Latvia,2003,5,24,21,26
Latvia,2005,153,5,23,24
Latvia,2006,30,16,4,24
Latvia,2007,54,16,14,24
Latvia,2008,83,12,14,25
Latvia,2015,186,6,19,27
Latvia,2016,132,15,20,26
Lithuania,1994,0,25,16,25
Lithuania,1999,13,20,1,23
Lithuania,2001,35,13,8,23
Lithuania,2002,12,23,24,24
Lithuania,2006,162,6,14,24
Lithuania,2007,28,21,9,24
Lithuania,2009,23,23,1,25
Lithuania,2011,63,19,4,25
Lithuania,2012,70,14,4,26
Lithuania,2013,17,22,2,26
Lithuania,2015,30,18,7,27
