Contestant,Total score,Jury score,Televoting score
Belgium,181,130,51
Czech Republic,41,41,0
Netherlands,153,114,39
Azerbaijan,117,44,73
Hungary,108,52,56
Italy,124,90,34
Israel,135,124,11
Bulgaria,307,127,180
Sweden,261,122,139
Germany,11,1,10
France,257,148,109
Poland,229,7,222
Australia,511,320,191
Cyprus,96,43,53
Serbia,115,35,80
Lithuania,200,104,96
Croatia,73,40,33
Russia,491,130,361
Spain,77,67,10
Latvia,132,69,63
Ukraine,534,211,323
Malta,153,137,16
Georgia,104,80,24
Austria,151,31,120
United Kingdom,62,54,8
Armenia,249,115,134
