Contestant,Total score,Jury score,Televoting score
Israel,39,34,5
Poland,64,23,41
Belarus,83,50,33
Austria,93,93,0
Armenia,79,58,21
Netherlands,150,135,15
Moldova,374,110,264
Hungary,200,48,152
Italy,334,126,208
Denmark,77,69,8
Portugal,758,382,376
Azerbaijan,120,78,42
Croatia,128,25,103
Australia,173,171,2
Greece,77,48,29
Spain,5,0,5
Norway,158,129,29
United Kingdom,111,99,12
Cyprus,68,36,32
Romania,282,58,224
Germany,6,3,3
Ukraine,36,12,24
Belgium,363,108,255
Sweden,344,218,126
Bulgaria,615,278,337
France,135,45,90
