Contestant,Total score,Jury score,Televoting score
Czech Republic,38,33,5
Romania,65,12,53
Portugal,207,171,36
Finland,38,12,26
Switzerland,78,78,0
France,17,9,8
Norway,182,36,146
Armenia,61,40,21
Italy,268,158,110
Spain,459,231,228
Netherlands,171,129,42
Ukraine,631,192,439
Germany,6,0,6
Lithuania,128,35,93
Azerbaijan,106,103,3
Belgium,64,59,5
Greece,215,158,57
Iceland,20,10,10
Moldova,253,14,239
Sweden,438,258,180
Australia,125,123,2
United Kingdom,466,283,183
Poland,151,46,105
Serbia,312,87,225
Estonia,141,43,98
